2014-09-28	444724	0	0	0	1	148	148	12345	12284	10	5	0	0	0
2014-09-28	445300	0	0	0	0	148	148	12345	12284	15	10	0	0	0
2014-09-28	447855	0	0	0	0	189	189	12345	12284	18.9	13.9	0	0	0
2014-09-28	447859	0	0	0	0	169	169	12345	12284	16.9	11.9	0	0	2
2014-09-28	447860	0	0	0	0	239	239	12345	12284	23.9	18.9	0	0	0
2014-09-28	447866	0	0	0	0	99	99	12345	12284	9.9	4.9	0	0	0
2014-09-28	447870	0	0	0	0	149	149	12345	12284	14.9	9.9	0	0	0
2014-09-28	448774	0	0	0	0	148	148	12345	12284	14	9	0	0	0
2014-09-28	448781	0	0	0	0	158	158	12345	12284	15	10	0	0	0
2014-09-28	449418	0	0	0	6	79	79	12345	12284	5.5	0.5	0	0	0
2014-09-28	449429	0	0	0	0	128	128	12345	12284	6.4	1.4	0	0	0
2014-09-28	449449	0	0	0	0	168	168	12345	12284	8.4	3.4	0	0	0
2014-09-28	449458	0	0	0	0	148	148	12345	12284	7.4	2.4	0	0	0
2014-09-28	449465	0	0	0	0	198	198	12345	12284	9.9	4.9	0	0	0
2014-09-28	449904	0	0	0	0	138	138	12345	12284	0	0	0	0	0
2014-09-28	450191	0	0	0	0	188	188	12345	12284	0	0	0	0	0
2014-09-28	450247	0	0	0	0	228	228	12345	12284	0	0	0	0	0
2014-09-28	450461	0	0	0	0	98	98	12345	12284	6	1	1	0	0
2014-09-28	450575	0	0	0	1	158	158	12345	12284	8	3	0	0	0
2014-09-28	450637	0	0	0	0	88	88	12345	12284	7	2	0	0	0
2014-09-28	450697	0	0	0	0	120	120	12345	12284	6	1	0	0	1
2014-09-28	450790	0	0	0	3	108	108	12345	12284	10.8	5.8	0	0	2
2014-09-28	450793	0	0	0	1	97	97	12345	12284	7	2	0	0	1
2014-09-28	450831	0	0	0	0	99	99	12345	12284	9.9	4.9	0	0	0
2014-09-28	450972	0	0	0	0	178	178	12345	12284	8	3	2	0	0
2014-09-28	451051	0	0	0	0	99	0	12345	12284	0	0	0	0	0
2014-09-28	454696	0	0	0	0	168	168	12345	12284	8.4	3.4	0	0	1
2014-09-28	454702	0	0	0	1	138	138	12345	12284	6.9	1.9	0	0	0
2014-09-28	454706	0	0	0	1	128	128	12345	12284	6.4	1.4	0	0	0
2014-09-28	454880	0	0	0	0	138	138	12345	12284	11	6	0	0	0
2014-09-28	456121	0	0	0	6.5	106	112.67	12345	12284	7	2	0	0	0
2014-09-28	456594	0	0	0	0	699	699	12345	12284	30	25	0	0	0
2014-09-28	456777	0	0	0	0	166	166	12345	12284	0	0	0	0	0
2014-09-28	456998	0	0	0	0	129	129	12345	12284	6	1	0	0	0
2014-09-28	457161	0	0	0	0	129	129	12345	12284	0	0	0	0	0
2014-09-28	457414	0	0	0	0	149	149	12345	12284	6	1	0	0	0
2014-09-28	457433	0	0	0	0	189	189	12345	12284	6	1	0	0	0
2014-09-28	457448	0	0	0	0	169	169	12345	12284	6	1	0	0	0
2014-09-28	459660	0	0	0	0	159	159	12345	12284	6	1	0	0	0
2014-09-28	460307	0	0	0	0	199	199	12345	12284	7	2	0	0	0
2014-09-28	460501	0	0	2	4	176	176	12345	12284	0	0	1	0	4
2014-09-28	460771	0	0	0	0	127	127	12345	12284	6	1	0	0	0
2014-09-28	463911	0	0	0	1	258	258	12345	12284	13	8	0	0	1
2014-09-28	464067	0	0	0	0	159	159	12345	12284	6	1	0	0	0
2014-09-28	464084	0	0	0	0	199	199	12345	12284	7	2	0	0	0
2014-09-28	464139	0	0	0	0	198	198	12345	12284	0	0	0	0	0
2014-09-28	466016	0	0	0	0	128	128	12345	12284	6.4	1.4	1	0	0
2014-09-28	466136	0	0	0	0	137	137	12345	12284	7	2	0	0	0
2014-09-28	466137	0	0	0	0	147	147	12345	12284	7	2	0	0	0
2014-09-28	466377	0	0	0	0	158	158	12345	12284	7.9	2.9	0	0	0
2014-09-28	466695	0	0	0	0	180	180	12345	12284	10	5	0	0	0
2014-09-28	467871	0	0	0	0	149	149	12345	12284	8	3	0	0	0
2014-09-28	468032	0	0	0	1.5	139	139	12345	12284	7	2	0	0	0
2014-09-28	469424	0	0	0	0	128	128	12345	12284	7	2	0	0	0
2014-09-28	470370	0	0	0	0	118	118	12345	12284	11	6	2	0	0
2014-09-28	470458	0	0	0	0	60	60	12345	12284	6	1	0	0	0
